trip_id,vehicle_hash,start_time,origin_zone,destination_zone,distance_km,travel_time_min
T0232,V003,2026-03-07 03:15:00,Z02,Z03,12.82,31.26
T0114,V159,2026-03-07 03:30:00,Z03,Z02,20.67,52.43
T0793,V099,2026-03-07 03:30:00,Z01,Z04,8.52,27.07
T0096,V053,2026-03-07 04:00:00,Z01,Z03,16.2,69.41
T0603,V028,2026-03-07 04:30:00,Z03,Z02,4.6,48.17
T0177,V043,2026-03-07 05:00:00,Z02,Z03,18.82,39.62
T0060,V023,2026-03-07 05:00:00,Z03,Z03,9.59,17.19
T0703,V155,2026-03-07 05:15:00,Z01,Z02,10.95,29.2
T0120,V151,2026-03-07 06:30:00,Z02,Z04,18.01,20.06
T0863,V066,2026-03-07 06:45:00,Z04,Z04,13.94,52.8
T0132,V142,2026-03-07 07:15:00,Z02,Z04,22.28,57.59
T0840,V164,2026-03-07 07:15:00,Z04,Z02,19.81,64.51
T0154,V104,2026-03-07 08:30:00,Z01,Z02,21.39,44.33
T0531,V122,2026-03-07 08:45:00,Z02,Z04,22.99,57.94
T0625,V007,2026-03-07 09:15:00,Z04,Z04,9.61,73.47
T0754,V041,2026-03-07 09:30:00,Z03,Z01,20.91,45.44
T0601,V134,2026-03-07 10:00:00,Z03,Z02,18.52,15.1
T0074,V028,2026-03-07 10:30:00,Z01,Z02,14.7,42.5
T0525,V166,2026-03-07 11:00:00,Z03,Z03,4.66,21.99
T0325,V036,2026-03-07 11:30:00,Z02,Z02,21.69,29.1
T0576,V152,2026-03-07 12:00:00,Z01,Z02,20.9,19.67
T0499,V149,2026-03-07 12:30:00,Z01,Z03,22.92,39.73
T0138,V072,2026-03-07 12:30:00,Z04,Z01,2.96,59.23
T0185,V161,2026-03-07 13:00:00,Z01,Z02,10.81,41.9
T0869,V161,2026-03-07 13:15:00,Z01,Z02,22.29,40.5
T0329,V149,2026-03-07 13:45:00,Z04,Z01,3.23,74.02
T0422,V041,2026-03-07 14:15:00,Z02,Z04,11.98,41.53
T0706,V082,2026-03-07 14:15:00,Z02,Z04,17.21,11.58
T0112,V080,2026-03-07 15:15:00,Z03,Z03,17.56,67.77
T0399,V104,2026-03-07 15:45:00,Z04,Z04,5.62,9.96
T0708,V078,2026-03-07 16:15:00,Z03,Z01,7.74,10.35
T0394,V111,2026-03-07 16:30:00,Z04,Z01,4.29,17.41
T0023,V051,2026-03-07 16:45:00,Z03,Z03,16.86,32.83
T0864,V160,2026-03-07 17:00:00,Z03,Z02,20.81,13.14
T0628,V101,2026-03-07 17:00:00,Z02,Z02,16.78,11.69
T0636,V125,2026-03-07 17:15:00,Z02,Z04,16.57,26.92
T0296,V002,2026-03-07 17:30:00,Z02,Z02,7.39,23.22
T0541,V167,2026-03-07 17:45:00,Z02,Z03,10.04,73.69
T0160,V169,2026-03-07 18:00:00,Z02,Z04,9.14,29.72
T0520,V138,2026-03-07 18:15:00,Z03,Z04,4.83,61.15
T0602,V122,2026-03-07 18:15:00,Z01,Z04,18.06,66.08
T0189,V096,2026-03-07 18:45:00,Z01,Z03,23.8,25.92
T0206,V102,2026-03-07 19:15:00,Z03,Z02,20.18,32.15
T0083,V026,2026-03-07 19:15:00,Z03,Z03,3.62,15.17
T0584,V027,2026-03-07 19:30:00,Z03,Z02,5.62,59.08
T0029,V027,2026-03-07 19:30:00,Z02,Z04,18.31,26.61
T0641,V030,2026-03-07 19:45:00,Z01,Z02,5.52,70.53
T0582,V005,2026-03-07 19:45:00,Z03,Z03,5.35,44.56
T0488,V082,2026-03-07 20:00:00,Z03,Z04,18.1,11.47
T0611,V027,2026-03-07 20:45:00,Z02,Z04,14.01,36.05
T0231,V045,2026-03-07 21:00:00,Z03,Z02,6.83,13.95
T0109,V008,2026-03-07 21:00:00,Z03,Z02,19.0,43.22
T0162,V150,2026-03-07 21:30:00,Z02,Z03,19.59,8.55
T0498,V002,2026-03-07 21:30:00,Z04,Z02,19.65,42.19
T0194,V007,2026-03-07 22:15:00,Z02,Z01,18.93,64.13
T0442,V052,2026-03-07 22:45:00,Z03,Z03,8.63,70.89
T0056,V104,2026-03-07 23:00:00,Z03,Z03,7.32,43.17
T0850,V049,2026-03-07 23:15:00,Z02,Z02,21.79,43.92
T0784,V142,2026-03-07 23:30:00,Z02,Z04,3.41,53.23
T0266,V120,2026-03-07 23:45:00,Z04,Z01,22.39,28.98
T0130,V072,2026-03-08 01:00:00,Z03,Z03,16.3,60.73
T0101,V124,2026-03-08 01:00:00,Z03,Z03,19.88,32.71
T0872,V103,2026-03-08 01:15:00,Z03,Z04,8.99,62.87
T0610,V118,2026-03-08 01:30:00,Z02,Z03,10.38,12.32
T0676,V154,2026-03-08 02:00:00,Z03,Z04,12.71,16.08
T0887,V171,2026-03-08 02:15:00,Z01,Z04,18.44,13.78
T0066,V145,2026-03-08 02:15:00,Z03,Z01,6.12,29.46
T0341,V082,2026-03-08 02:30:00,Z01,Z01,18.77,31.61
T0403,V080,2026-03-08 03:00:00,Z04,Z04,13.87,28.31
T0411,V041,2026-03-08 03:15:00,Z02,Z02,16.69,37.66
T0681,V138,2026-03-08 03:15:00,Z04,Z03,5.43,27.33
T0564,V085,2026-03-08 04:15:00,Z04,Z03,8.97,58.53
T0854,V109,2026-03-08 06:15:00,Z01,Z01,18.61,48.8
